HourUTC,HourDK,GridCompany,ResidualConsumption,FlexSettledConsumption,HourlySettledConsumption
2023-12-31T22:00:00,2023-12-31T23:00:00,003,,92941.889,0.0
2023-12-31T22:00:00,2023-12-31T23:00:00,007,,68369.987,0.0
2023-12-31T22:00:00,2023-12-31T23:00:00,016,,461.403,30.36
2023-12-31T22:00:00,2023-12-31T23:00:00,031,,67108.002,89261.926
2023-12-31T22:00:00,2023-12-31T23:00:00,042,,10069.721,8485.24
2023-12-31T22:00:00,2023-12-31T23:00:00,051,,11408.555,20658.43
2023-12-31T22:00:00,2023-12-31T23:00:00,084,,1828.33,602.03
2023-12-31T22:00:00,2023-12-31T23:00:00,085,,1865.54,237.0
2023-12-31T22:00:00,2023-12-31T23:00:00,131,,270897.88,324181.961
2023-12-31T22:00:00,2023-12-31T23:00:00,141,,1737.63,720.78
2023-12-31T22:00:00,2023-12-31T23:00:00,151,,84423.269,336507.88
2023-12-31T22:00:00,2023-12-31T23:00:00,154,,10024.628,56743.026
2023-12-31T22:00:00,2023-12-31T23:00:00,233,,59794.735,34054.667
2023-12-31T22:00:00,2023-12-31T23:00:00,244,,73673.145,90212.875
2023-12-31T22:00:00,2023-12-31T23:00:00,245,,35739.376,32094.027
2023-12-31T22:00:00,2023-12-31T23:00:00,312,,2384.926,
2023-12-31T22:00:00,2023-12-31T23:00:00,331,,19451.095,15058.6
2023-12-31T22:00:00,2023-12-31T23:00:00,341,,1949.51,1700.5
2023-12-31T22:00:00,2023-12-31T23:00:00,342,,4686.03,1658.59
2023-12-31T22:00:00,2023-12-31T23:00:00,344,,214626.897,277697.154
2023-12-31T22:00:00,2023-12-31T23:00:00,347,,21411.435,16924.879
2023-12-31T22:00:00,2023-12-31T23:00:00,348,,37258.445,65016.64
2023-12-31T22:00:00,2023-12-31T23:00:00,351,,7596.78,13438.81
2023-12-31T22:00:00,2023-12-31T23:00:00,357,,2395.47,1743.05
2023-12-31T22:00:00,2023-12-31T23:00:00,370,,1135.169,257.138
2023-12-31T22:00:00,2023-12-31T23:00:00,371,,1364.0,200.19
2023-12-31T22:00:00,2023-12-31T23:00:00,381,,711.98,1074.53
2023-12-31T22:00:00,2023-12-31T23:00:00,384,,1025.58,3038.72
2023-12-31T22:00:00,2023-12-31T23:00:00,385,,1295.25,13814.75
2023-12-31T22:00:00,2023-12-31T23:00:00,396,,1199.0,391.38
2023-12-31T22:00:00,2023-12-31T23:00:00,398,,1195.146,990.559
2023-12-31T22:00:00,2023-12-31T23:00:00,531,,9069.061,7749.29
2023-12-31T22:00:00,2023-12-31T23:00:00,532,,7176.65,1679.05
2023-12-31T22:00:00,2023-12-31T23:00:00,533,,17847.307,31205.99
2023-12-31T22:00:00,2023-12-31T23:00:00,543,,99515.218,156346.044
2023-12-31T22:00:00,2023-12-31T23:00:00,584,,3715.69,3514.17
2023-12-31T22:00:00,2023-12-31T23:00:00,740,,259621.994,178661.947
2023-12-31T22:00:00,2023-12-31T23:00:00,757,,7365.05,2699.39
2023-12-31T22:00:00,2023-12-31T23:00:00,791,,505112.967,429723.088
2023-12-31T22:00:00,2023-12-31T23:00:00,853,,3657.744,8681.147
2023-12-31T22:00:00,2023-12-31T23:00:00,854,,6698.8,3078.618
2023-12-31T22:00:00,2023-12-31T23:00:00,860,,9410.873,7059.9
2023-12-31T22:00:00,2023-12-31T23:00:00,911,,18067.099,6741.37
2023-12-31T22:00:00,2023-12-31T23:00:00,950,,73.1,
2023-12-31T22:00:00,2023-12-31T23:00:00,951,,8700.0,
2023-12-31T22:00:00,2023-12-31T23:00:00,952,,58782.0,
2023-12-31T22:00:00,2023-12-31T23:00:00,953,,11310.0,
2023-12-31T22:00:00,2023-12-31T23:00:00,954,,17602.0,
2023-12-31T22:00:00,2023-12-31T23:00:00,960,,162.2,
2023-12-31T22:00:00,2023-12-31T23:00:00,962,,11318.0,
2023-12-31T22:00:00,2023-12-31T23:00:00,990,,13340.0,
2023-12-31T21:00:00,2023-12-31T22:00:00,003,,96252.327,0.0
2023-12-31T21:00:00,2023-12-31T22:00:00,007,,77439.124,0.0
2023-12-31T21:00:00,2023-12-31T22:00:00,016,,503.875,30.46
2023-12-31T21:00:00,2023-12-31T22:00:00,031,,70267.902,90105.149
2023-12-31T21:00:00,2023-12-31T22:00:00,042,,10506.466,8930.04
2023-12-31T21:00:00,2023-12-31T22:00:00,051,,11897.685,20803.12
2023-12-31T21:00:00,2023-12-31T22:00:00,084,,1927.48,615.52
2023-12-31T21:00:00,2023-12-31T22:00:00,085,,1922.0,259.66
2023-12-31T21:00:00,2023-12-31T22:00:00,131,,286668.526,310460.623
2023-12-31T21:00:00,2023-12-31T22:00:00,141,,1841.23,766.37
2023-12-31T21:00:00,2023-12-31T22:00:00,151,,89439.071,341652.491
2023-12-31T21:00:00,2023-12-31T22:00:00,154,,10522.583,56724.892
2023-12-31T21:00:00,2023-12-31T22:00:00,233,,63369.809,34542.772
2023-12-31T21:00:00,2023-12-31T22:00:00,244,,77186.999,91347.335
2023-12-31T21:00:00,2023-12-31T22:00:00,245,,37590.559,32325.94
2023-12-31T21:00:00,2023-12-31T22:00:00,312,,2496.986,
2023-12-31T21:00:00,2023-12-31T22:00:00,331,,20250.144,14246.33
2023-12-31T21:00:00,2023-12-31T22:00:00,341,,2059.742,1770.258
2023-12-31T21:00:00,2023-12-31T22:00:00,342,,4931.58,1799.16
2023-12-31T21:00:00,2023-12-31T22:00:00,344,,225132.289,244977.301
