Month,GridCompany,GridCompanyName,NumberofChangesforSmallConsumers,NumberofChangesforLargeConsumers
2023-12-01T00:00:00,016,El-net Kongerslev A/S,22,0
2023-12-01T00:00:00,031,Nord Energi Net A/S,1501,20
2023-12-01T00:00:00,042,Netselskabet Elværk A/S - 042,127,4
2023-12-01T00:00:00,051,Elinord A/S,336,1
2023-12-01T00:00:00,084,Kimbrer Elnet A/S,70,0
2023-12-01T00:00:00,085,Læsø Elnet A/S,23,0
2023-12-01T00:00:00,131,N1 A/S - 131,8205,47
2023-12-01T00:00:00,141,Hammel Elforsyning Net A/S,67,0
2023-12-01T00:00:00,151,Konstant Net A/S - 151,2546,12
2023-12-01T00:00:00,154,Elnet Midt A/S,273,5
2023-12-01T00:00:00,233,Dinel A/S - 233,2342,18
2023-12-01T00:00:00,244,TREFOR El-Net A/S,2415,31
2023-12-01T00:00:00,245,Konstant Net A/S - 245,1375,19
2023-12-01T00:00:00,331,Netselskabet Elværk A/S - 331,222,8
2023-12-01T00:00:00,341,GEV Elnet A/S,47,0
2023-12-01T00:00:00,342,Ikast El Net A/S,213,1
2023-12-01T00:00:00,344,N1 A/S - 344,4794,69
2023-12-01T00:00:00,347,NOE Net A/S,351,2
2023-12-01T00:00:00,348,RAH Net A/S,687,12
2023-12-01T00:00:00,351,L-Net A/S,278,8
2023-12-01T00:00:00,357,Forsyning Elnet A/S,64,1
2023-12-01T00:00:00,370,Aal El-net A.m.b.a,26,0
2023-12-01T00:00:00,371,Hjerting Transformatorforening,37,0
2023-12-01T00:00:00,381,Hurup Elværk Net A/S,4,0
2023-12-01T00:00:00,384,Tarm Elværk Net A/S,34,2
2023-12-01T00:00:00,385,Videbæk Elnet A/S,26,0
2023-12-01T00:00:00,396,Sunds Net A.m.b.a,44,0
2023-12-01T00:00:00,398,N1 A/S - 398,41,0
2023-12-01T00:00:00,531,Ravdex A/S,196,0
2023-12-01T00:00:00,532,Veksel A/S,62,0
2023-12-01T00:00:00,533,FLOW Elnet A/S,372,1
2023-12-01T00:00:00,543,Vores Elnet A/S,2496,38
2023-12-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,73,1
2023-12-01T00:00:00,740,Cerius A/S - 740,5385,175
2023-12-01T00:00:00,757,Elektrus A/S,229,1
2023-12-01T00:00:00,791,Radius Elnet A/S,22711,458
2023-12-01T00:00:00,853,Cerius A/S - 853,113,4
2023-12-01T00:00:00,854,NKE-Elnet A/S,288,2
2023-12-01T00:00:00,860,Zeanet A/S,279,5
2023-12-01T00:00:00,911,TREFOR El-Net Øst A/S,149,0
2023-11-01T00:00:00,016,El-net Kongerslev A/S,10,0
2023-11-01T00:00:00,031,Nord Energi Net A/S,897,17
2023-11-01T00:00:00,042,Netselskabet Elværk A/S - 042,111,1
2023-11-01T00:00:00,051,Elinord A/S,199,1
2023-11-01T00:00:00,084,Kimbrer Elnet A/S,36,0
2023-11-01T00:00:00,085,Læsø Elnet A/S,8,0
2023-11-01T00:00:00,131,N1 A/S - 131,3943,16
2023-11-01T00:00:00,141,Hammel Elforsyning Net A/S,30,0
2023-11-01T00:00:00,151,Konstant Net A/S - 151,1387,5
2023-11-01T00:00:00,154,Elnet Midt A/S,191,3
2023-11-01T00:00:00,233,Dinel A/S - 233,1009,2
2023-11-01T00:00:00,244,TREFOR El-Net A/S,1060,4
2023-11-01T00:00:00,245,Konstant Net A/S - 245,519,8
2023-11-01T00:00:00,331,Netselskabet Elværk A/S - 331,184,1
2023-11-01T00:00:00,341,GEV Elnet A/S,24,0
2023-11-01T00:00:00,342,Ikast El Net A/S,82,2
2023-11-01T00:00:00,344,N1 A/S - 344,2335,15
2023-11-01T00:00:00,347,NOE Net A/S,195,2
2023-11-01T00:00:00,348,RAH Net A/S,363,3
2023-11-01T00:00:00,351,L-Net A/S,126,0
2023-11-01T00:00:00,357,Forsyning Elnet A/S,47,0
2023-11-01T00:00:00,370,Aal El-net A.m.b.a,16,0
2023-11-01T00:00:00,371,Hjerting Transformatorforening,22,0
2023-11-01T00:00:00,381,Hurup Elværk Net A/S,9,0
2023-11-01T00:00:00,384,Tarm Elværk Net A/S,16,0
2023-11-01T00:00:00,385,Videbæk Elnet A/S,13,0
2023-11-01T00:00:00,396,Sunds Net A.m.b.a,21,0
2023-11-01T00:00:00,398,N1 A/S - 398,15,0
2023-11-01T00:00:00,531,Ravdex A/S,101,0
2023-11-01T00:00:00,532,Veksel A/S,60,0
2023-11-01T00:00:00,533,FLOW Elnet A/S,298,2
2023-11-01T00:00:00,543,Vores Elnet A/S,1463,22
2023-11-01T00:00:00,584,Midtfyns Elforsyning A.m.b.A.,50,0
2023-11-01T00:00:00,740,Cerius A/S - 740,3464,168
2023-11-01T00:00:00,757,Elektrus A/S,114,2
2023-11-01T00:00:00,791,Radius Elnet A/S,8189,220
